key;name;category;isLiquid;kcal;carbs;protein;fat;portions;source
bier-alkoholfrei;Bier, alkoholfrei;Getränke;true;23;4.9;0.4;0.0;1 Glas=300|1 Flasche=500;Swiss FCDB 13420
radler;Radler;Getränke;true;38;7.1;0.2;0.0;1 Glas=300|1 Flasche=500;Swiss FCDB 1183
weisswein;Weißwein;Getränke;true;72;0.1;0.2;0.0;1 Glas=150;Swiss FCDB 511
rotwein;Rotwein;Getränke;true;70;0.3;0.2;0.0;1 Glas=150;Swiss FCDB 509
sekt;Sekt;Getränke;true;71;1.5;0.2;0.0;1 Glas=100;Swiss FCDB 551
wodka;Wodka (40 %);Getränke;true;231;0.0;0.0;0.0;1 Shot=20;USDA FDC 174815
zucker;Zucker;Grundzutaten;false;387;100.0;0.0;0.0;1 Teelöffel=4|1 Esslöffel=12;USDA FDC 169655
honig;Honig;Grundzutaten;false;304;82.2;0.3;0.0;1 Teelöffel=7|1 Esslöffel=20;USDA FDC 169640
ahornsirup;Ahornsirup;Grundzutaten;false;260;67.0;0.0;0.1;1 Esslöffel=20;USDA FDC 169661
weizenmehl-405;Weizenmehl Type 405;Grundzutaten;false;346;71.0;11.5;1.1;1 Esslöffel=10;Swiss FCDB 205
weizenvollkornmehl;Weizenvollkornmehl;Grundzutaten;false;338;61.0;13.5;2.0;1 Esslöffel=10;Swiss FCDB 206
dinkelmehl-630;Dinkelmehl Type 630;Grundzutaten;false;348;68.2;13.3;1.6;1 Esslöffel=10;Swiss FCDB 1043
speisestaerke;Speisestärke;Grundzutaten;false;381;90.4;0.3;0.1;1 Esslöffel=10;USDA FDC 169698
salz;Salz;Grundzutaten;false;0;0.0;0.0;0.0;1 Teelöffel=6;USDA FDC 173468
tomatenmark;Tomatenmark;Grundzutaten;false;82;14.8;4.3;0.5;1 Esslöffel=16;USDA FDC 170459
tomaten-passiert;Tomaten, passiert;Grundzutaten;false;38;7.1;1.7;0.2;;USDA FDC 170460
tomaten-gehackt-dose;Tomaten, gehackt, Dose;Grundzutaten;false;16;1.6;0.8;0.3;1 Dose=400;USDA FDC 170051
ketchup;Ketchup;Grundzutaten;false;101;27.1;1.0;0.1;1 Esslöffel=17;USDA FDC 168556
senf;Senf;Grundzutaten;false;124;3.8;7.1;7.7;1 Teelöffel=5;Swiss FCDB 13464
mayonnaise;Mayonnaise;Grundzutaten;false;693;2.6;1.4;75.2;1 Esslöffel=15;Swiss FCDB 771
sojasauce;Sojasauce;Grundzutaten;true;53;4.1;8.1;0.6;1 Esslöffel=15;USDA FDC 174277
weinessig;Weinessig;Grundzutaten;true;19;0.3;0.0;0.0;1 Esslöffel=15;USDA FDC 172240
balsamico;Balsamico-Essig;Grundzutaten;true;88;17.0;0.5;0.0;1 Esslöffel=15;USDA FDC 172241
kakaopulver-ungesuesst;Kakaopulver, ungesüßt;Grundzutaten;false;228;20.9;19.6;13.7;1 Esslöffel=6;USDA FDC 169593
kokosmilch;Kokosmilch;Grundzutaten;true;214;3.1;2.4;21.3;1 Dose=400;Swiss FCDB 13458
gemuesebruehe-zubereitet;Gemüsebrühe, zubereitet;Grundzutaten;true;6;0.4;0.3;0.4;1 Tasse=250;Swiss FCDB 664
whey-proteinpulver;Whey-Proteinpulver;Grundzutaten;false;352;3.2;78.1;1.6;1 Messlöffel=30;USDA FDC 173180
